	nodes_synt	edges_synt	radius_synt	diameter_synt	average_clustering_synt	transitivity_synt	density_synt	degree_pearson_correlation_coefficien_syntt	nodes_flat	edges_flat	radius_flat	diameter_flat	average_clustering_flat	transitivity_flat	density_flat	degree_pearson_correlation_coefficient_flat	class
16017	13	29	3	5	0.6857142857142857	0.6666666666666666	1.0	0	13	29	3	6	0.7275132275132274	0.6842105263157895	1.0	0	fiction
16018	6	6	1	2	0.0	0.0	0.4	0.0	6	6	2	4	0.0	0.0	0.4	0.0	fiction
16019	14	36	2	4	0.7257326007326007	0.6	1.0	0.0	14	48	3	6	0.7052380952380952	0.6304347826086957	0.8333333333333334	0.3181818181818181	fiction
16020	12	22	2	4	0.8388888888888889	0.8823529411764706	1.0	0.5522388059701491	12	23	3	5	0.6708333333333334	0.5625	0.8	0.16554054054054057	fiction
16021	15	24	3	5	0.5735930735930737	0.5769230769230769	0.5238095238095238	0.0	15	31	3	6	0.725108225108225	0.6986301369863014	0.5714285714285714	0.24013314312886347	fiction
16022	14	32	3	5	0.7266233766233766	0.6136363636363636	1.0	0	14	34	4	8	0.7041666666666666	0.6617647058823529	1.0	0	fiction
16023	14	31	3	5	0.6572089947089947	0.6	1.0	0	14	34	3	6	0.6658119658119658	0.6335403726708074	1.0	0	fiction
16024	13	23	3	4	0.5541666666666667	0.5	1.0	0	13	28	3	6	0.6701298701298701	0.5625	1.0	0	fiction
16025	14	27	3	5	0.730952380952381	0.631578947368421	1.3333333333333333	0.0	14	30	4	7	0.7142857142857143	0.7674418604651163	1.3333333333333333	0.3323699421965318	fiction
16026	14	23	2	4	0.7128427128427128	0.65625	1.0	0	14	27	3	5	0.7000000000000001	0.6233766233766234	1.0	0	fiction
16027	12	28	3	5	0.6874458874458874	0.6153846153846154	1.0	0	12	31	4	7	0.7042328042328042	0.6976744186046512	1.0	0	fiction
16028	13	30	3	5	0.6602380952380952	0.6818181818181818	2.0	0.0	13	31	4	7	0.7327380952380952	0.6	2.0	0.30000000000000016	fiction
16029	15	35	3	6	0.8238095238095238	0.6818181818181818	1.0	0.10133542812254519	15	40	4	7	0.7279220779220779	0.744	1.3333333333333333	0.42696629213483145	fiction
16030	13	31	2	4	0.607070707070707	0.525	0.6666666666666666	0.0	13	29	4	7	0.5903439153439153	0.5702479338842975	1.0	0.28571428571428564	fiction
16031	2	0	0	0	0.0	0.0	0.0	0.0	2	2	1	1	0.0	0.0	2.0	0	fiction
16032	2	0	0	0	0.0	0.0	0.0	0.0	2	2	1	1	0.0	0.0	2.0	0.0	fiction
16033	15	36	3	6	0.7566137566137566	0.8	2.0	0.18672199170124487	15	48	5	9	0.7828042328042328	0.6857142857142857	2.0	0.5714285714285714	fiction
16034	13	26	3	4	0.6952380952380953	0.6	2.0	0.1457905544147844	13	29	4	7	0.6814814814814815	0.6	2.0	0.2857142857142857	fiction
16035	15	31	2	4	0.8055555555555555	0.75	1.0	0.0	15	38	3	6	0.6828571428571429	0.6818181818181818	0.7333333333333333	0.36766169154228856	fiction
16036	13	23	2	4	0.6333333333333333	0.6	2.0	0.0	13	36	4	8	0.7285714285714286	0.6774193548387096	2.0	0.3181818181818182	fiction
16037	15	40	3	5	0.8666666666666666	0.7894736842105263	2.0	0	15	51	4	8	0.7305555555555555	0.6942148760330579	2.0	0	fiction
16038	15	22	3	5	0.7714285714285714	0.8571428571428571	1.0	0	15	35	4	7	0.7571428571428572	0.8421052631578947	1.0	0	fiction
16039	2	0	0	0	0.0	0.0	0.0	0.0	2	2	1	1	0.0	0.0	2.0	0	fiction
16040	13	24	3	5	0.7243386243386243	0.6	1.0	0	13	28	4	7	0.7428571428571429	0.7391304347826086	1.0	0	fiction
16041	13	22	3	5	0.7666666666666666	0.8823529411764706	1.0	0	13	22	4	7	0.7000000000000001	0.7241379310344828	1.0	0	fiction
16042	14	21	3	5	0.6257575757575757	0.6122448979591837	1.0	0.0	14	24	4	8	0.6708333333333334	0.6	1.0	0.608695652173913	fiction
16043	13	25	3	5	0.6896464646464647	0.631578947368421	1.0	0	13	31	3	6	0.6666666666666666	0.6	1.0	0	fiction
16044	13	19	3	5	0.6	0.5454545454545454	0.8	0.0	13	24	4	8	0.7	0.8	0.7	0.18181818181818185	fiction
16045	15	45	3	5	0.7559523809523809	0.6206896551724138	2.0	0.0	15	50	4	8	0.7240740740740741	0.6986301369863014	2.0	0.4587628865979381	fiction
16046	15	38	3	5	0.7428571428571429	0.8571428571428571	1.0	0.0	15	48	3	5	0.738006438006438	0.7323943661971831	1.0	0.28571428571428564	fiction
16047	15	43	3	5	0.8333333333333333	0.8	2.0	0.08333333333333333	15	55	5	9	0.7344155844155845	0.8	2.0	0.6179775280898877	fiction
16048	14	35	2	4	0.6518518518518518	0.6818181818181818	0.8333333333333334	0.42222222222222217	14	37	4	7	0.7343434343434343	0.64	0.6666666666666666	0.3	fiction
16049	14	29	3	5	0.7000000000000001	0.8	1.0	0.21212121212121207	14	36	5	10	0.7916666666666666	0.8	1.3333333333333333	0.5336787564766841	fiction
16050	14	32	3	5	0.6977513227513228	0.6	1.0	0	14	28	3	6	0.6333333333333334	0.75	1.0	0	fiction
16051	15	34	3	5	0.6333333333333333	0.6	1.0	0	15	31	4	7	0.6708333333333334	0.6136363636363636	1.3333333333333333	0.453416149068323	fiction
16052	13	24	3	5	0.7666666666666666	0.8823529411764706	1.0666666666666667	0	13	26	4	8	0.702930402930403	0.65625	1.0	0	fiction
16053	15	47	3	5	0.6148684648684649	0.65625	0.6666666666666666	0.0	15	58	4	8	0.7777777777777778	0.7058823529411765	0.6666666666666666	0.3292682926829268	fiction
16054	13	22	2	4	0.6606726606726607	0.5357142857142857	0.5333333333333333	0.0	13	22	4	8	0.6777777777777777	0.6521739130434783	0.6	0.37500000000000006	fiction
16055	15	36	3	4	0.7666666666666666	0.8823529411764706	1.0	0.05014749262536869	15	50	4	8	0.7001831501831502	0.75	0.9333333333333333	0.18181818181818185	fiction
16056	15	40	2	4	0.8277777777777778	0.8	0.7	0.017857142857142842	15	44	4	7	0.6777777777777777	0.6521739130434783	0.8333333333333334	0.4074074074074074	fiction
16057	14	29	3	5	0.7000000000000001	0.6	2.0	0	14	35	4	7	0.7116402116402116	0.6521739130434783	2.0	0	fiction
